0.17453292519943j	(-1.253068221026e-06-14.219214586872j)
16.580627893946j	(5.5173605649012e-09-0.50524377132133j)
16.929693744345j	(4.9832362175519e-09-0.49721098317113j)
17.278759594744j	(2.4168795751078e-09-0.48692113870066j)
17.627825445143j	(3.8689148538546e-09-0.47345895198189j)
17.976891295542j	(4.764634848563e-09-0.47012257658826j)
18.32595714594j	(1.9937736262045e-09-0.46161206633221j)
18.675022996339j	(3.5747289872113e-09-0.44880440330143j)
19.024088846738j	(2.8445961421775e-09-0.45018899338302j)
19.373154697137j	(-2.204100813326e-10-0.44850002374902j)
19.722220547536j	(1.5204283349159e-09-0.43524531443047j)
20.071286397935j	(3.3957305088557e-09-0.42817819184984j)
20.420352248334j	(3.7552176109371e-09-0.41383171855453j)
20.769418098733j	(2.2028098458966e-09-0.41129902789203j)
21.118483949131j	(2.0932424751458e-09-0.39768772985909j)
21.46754979953j	(6.9360033621174e-09-0.39520679570443j)
21.816615649929j	(3.5933246208557e-09-0.39513850125809j)
22.165681500328j	(2.4515190989529e-09-0.38169115306199j)
22.514747350727j	(3.0423855042117e-09-0.37865836041955j)
22.863813201126j	(1.2872532333258e-09-0.37182724120492j)
23.212879051525j	(2.7904357999495e-09-0.36832981441226j)
23.561944901923j	(2.9772592281183e-09-0.3670122084927j)
23.911010752322j	(5.7169584284514e-09-0.37036361041238j)
24.260076602721j	(-3.333182149164e-10-0.35782804687818j)
24.60914245312j	(5.3378987829807e-09-0.34821775111515j)
24.958208303519j	(6.8664194389398e-09-0.34821137165431j)
25.307274153918j	(2.9483309775396e-09-0.34300407582674j)
25.656340004317j	(3.3055782766151e-09-0.32916821428759j)
26.005405854716j	(2.6963941185526e-09-0.33204911905466j)
26.354471705114j	(3.5046288546047e-09-0.33284636322944j)
26.703537555513j	(3.4297017969896e-09-0.32693106273704j)
27.052603405912j	(3.681836160461e-09-0.32870670435176j)
27.401669256311j	(9.3210951022683e-10-0.31479812937812j)
27.75073510671j	(4.9852306388332e-09-0.31593057702502j)
28.099800957109j	(2.074269154115e-09-0.3085427628786j)
28.448866807508j	(5.4001662895982e-09-0.30523640452609j)
28.797932657906j	(4.5672134383756e-09-0.30769550236941j)
29.146998508305j	(4.1321129020159e-09-0.30406551298007j)
29.496064358704j	(5.6874700535902e-09-0.30410141487948j)
29.845130209103j	(2.5962774695493e-09-0.29714225717274j)
30.194196059502j	(3.1167637913975e-09-0.29876762804046j)
30.543261909901j	(1.6135888631486e-09-0.27903819129927j)
30.8923277603j	(3.0383193921758e-09-0.2810766411216j)
31.241393610698j	(3.1732505432112e-09-0.27747883772897j)
31.590459461097j	(3.7954683583257e-09-0.2786243370898j)
31.939525311496j	(2.97619644896e-09-0.27650723777654j)
32.288591161895j	(3.0395958289261e-09-0.2739308574827j)
32.637657012294j	(1.49214767104e-09-0.28042436316694j)
32.986722862693j	(1.3134239364848e-09-0.26114120137766j)
33.335788713092j	(4.7190428666064e-09-0.26181830274435j)
33.684854563491j	(1.0281142757473e-10-0.26070500898297j)
34.033920413889j	(2.6935247770891e-09-0.25083056730497j)
34.382986264288j	(2.3870181580382e-09-0.26411995790736j)
34.732052114687j	(3.1507565883849e-09-0.24943194002546j)
